#PicoHarp 300  Histogram Data			02/09/2013 15:34										
#channels per curve													
11000													
#display curve no.													
0	1	2	3	4	5								
memory block no.													
P-grnf1	P-grnf2	IRF1	IRF2	4	P_redfilter								
#ns/channel													
"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"								
Counts	Counts	Counts	Counts	Counts	Counts	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.
27	5	0	5	0	4	1.2463	1	1.3103	0	1.2536	5	1.326	0
14	9	1	2	0	1	1.2536	0	1.3176	0	1.261	1	1.3333	0
21	9	1	6	0	5	1.261	2	1.325	0	1.2683	1	1.3407	0
13	5	2	1	0	7	1.2683	0	1.3323	0	1.2756	1	1.348	0
20	15	5	6	0	2	1.2756	0	1.3396	0	1.283	2	1.3553	0
22	7	1	8	0	3	1.283	0	1.347	0	1.2903	2	1.3627	1
11	7	8	4	0	4	1.2903	0	1.3543	0	1.2976	2	1.37	0
20	7	4	7	0	5	1.2976	1	1.3616	0	1.305	3	1.3773	1
20	8	2	5	0	3	1.305	3	1.369	0	1.3123	1	1.3847	1
20	6	3	5	0	3	1.3123	2	1.3763	0	1.3196	3	1.392	0
13	5	2	10	0	6	1.3196	1	1.3836	0	1.327	4	1.3993	0
16	11	0	4	0	2	1.327	1	1.3909	0	1.3343	0	1.4067	1
22	2	2	4	0	2	1.3343	1	1.3983	0	1.3416	2	1.414	0
20	9	2	7	0	5	1.3416	1	1.4056	0	1.3489	1	1.4213	0
20	7	3	4	0	1	1.3489	1	1.4129	0	1.3563	2	1.4286	0
15	8	3	8	0	6	1.3563	0	1.4203	0	1.3636	4	1.436	0
26	6	5	1	0	1	1.3636	3	1.4276	1	1.3709	0	1.4433	0
15	5	3	3	0	6	1.3709	0	1.4349	0	1.3783	0	1.4506	0
21	9	1	5	0	5	1.3783	3	1.4423	0	1.3856	1	1.458	0
19	8	2	3	0	1	1.3856	1	1.4496	0	1.3929	1	1.4653	0
18	5	5	4	0	6	1.3929	1	1.4569	0	1.4003	0	1.4726	0
27	12	2	6	0	7	1.4003	1	1.4643	0	1.4076	2	1.48	0
15	8	3	7	0	9	1.4076	2	1.4716	0	1.4149	1	1.4873	0
15	8	1	5	0	3	1.4149	1	1.4789	0	1.4223	0	1.4946	0
20	9	0	4	0	2	1.4223	1	1.4863	0	1.4296	3	1.502	0
12	9	1	9	0	1	1.4296	0	1.4936	0	1.4369	1	1.5093	0
22	7	5	3	0	2	1.4369	1	1.5009	0	1.4443	2	1.5166	0
10	8	1	5	0	3	1.4443	0	1.5082	0	1.4516	1	1.524	0
22	9	2	3	0	3	1.4516	1	1.5156	0	1.4589	1	1.5313	0
11	2	1	6	0	5	1.4589	0	1.5229	0	1.4662	1	1.5386	0
21	9	1	5	0	4	1.4662	3	1.5302	0	1.4736	3	1.5459	0
12	7	2	3	0	3	1.4736	1	1.5376	0	1.4809	0	1.5533	0
21	9	2	6	0	2	1.4809	1	1.5449	0	1.4882	1	1.5606	0
14	11	0	10	0	8	1.4882	1	1.5522	0	1.4956	3	1.5679	0
25	9	3	7	0	0	1.4956	0	1.5596	0	1.5029	4	1.5753	0
16	5	3	11	0	6	1.5029	0	1.5669	0	1.5102	3	1.5826	0
15	6	2	8	0	2	1.5102	2	1.5742	0	1.5176	1	1.5899	0
