PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
t[ns]	Intens.	t[ns]	Intens.			
5.3518	1227	5.4158	0			
5.3591	1264	5.4231	0			
5.3665	1304	5.4305	1			
5.3738	1217	5.4378	0			
5.3811	1297	5.4451	0			
5.3884	1180	5.4524	0			
5.3958	1271	5.4598	0			
5.4031	1224	5.4671	0			
5.4104	1134	5.4744	1			
5.4178	1178	5.4818	0			
5.4251	1193	5.4891	0			
5.4324	1252	5.4964	0			
5.4398	1239	5.5038	0			
5.4471	1204	5.5111	0			
5.4544	1108	5.5184	0			
5.4618	1088	5.5258	1			
5.4691	1125	5.5331	0			
5.4764	1143	5.5404	0			
5.4838	1194	5.5478	0			
5.4911	1076	5.5551	0			
5.4984	1151	5.5624	0			
5.5057	1168	5.5697	0			
5.5131	1165	5.5771	0			
5.5204	1119	5.5844	0			
5.5277	1045	5.5917	1			
5.5351	1090	5.5991	1			
5.5424	1081	5.6064	0			
5.5497	1090	5.6137	0			
5.5571	1105	5.6211	0			
5.5644	1032	5.6284	0			
5.5717	1060	5.6357	0			
5.5791	1062	5.6431	0			
5.5864	1064	5.6504	0			
5.5937	1052	5.6577	0			
5.6011	1035	5.6651	0			
5.6084	1064	5.6724	0			
5.6157	1049	5.6797	0			
5.623	1070	5.687	0			
5.6304	986	5.6944	1			
5.6377	1052	5.7017	0			
5.645	1051	5.709	0			
5.6524	1016	5.7164	0			
5.6597	970	5.7237	2			
5.667	1012	5.731	0			
5.6744	992	5.7384	0			
5.6817	981	5.7457	0			
5.689	974	5.753	0			
5.6964	1037	5.7604	0			
5.7037	922	5.7677	0			
5.711	978	5.775	1			
5.7184	977	5.7824	0			
5.7257	929	5.7897	0			
5.733	937	5.797	0			
5.7403	925	5.8043	0			
5.7477	931	5.8117	0			
5.755	917	5.819	0			
5.7623	960	5.8263	0			
5.7697	931	5.8337	0			
5.777	967	5.841	0			
5.7843	916	5.8483	0			
5.7917	922	5.8557	0			
5.799	910	5.863	0			
5.8063	845	5.8703	0			
5.8137	908	5.8777	0			
5.821	927	5.885	0			
5.8283	943	5.8923	0			
5.8357	895	5.8997	0			
5.843	891	5.907	0			
5.8503	894	5.9143	0			
5.8576	851	5.9216	0			
5.865	831	5.929	0			
5.8723	844	5.9363	0			
5.8796	819	5.9436	0			
5.887	850	5.951	0			
5.8943	870	5.9583	0			
5.9016	835	5.9656	0			
5.909	840	5.973	0			
5.9163	895	5.9803	0			
5.9236	823	5.9876	0			
5.931	859	5.995	1			
5.9383	822	6.0023	1			
5.9456	819	6.0096	0			
5.953	868	6.0169	0			
5.9603	808	6.0243	0			
5.9676	817	6.0316	0			
5.9749	794	6.0389	0			
5.9823	895	6.0463	1			
5.9896	861	6.0536	0			
5.9969	778	6.0609	0			
6.0043	777	6.0683	0			
6.0116	777	6.0756	0			
6.0189	848	6.0829	0			
6.0263	739	6.0903	0			
6.0336	825	6.0976	0			
6.0409	799	6.1049	0			
6.0483	752	6.1123	0			
6.0556	751	6.1196	0			
6.0629	767	6.1269	0			
6.0703	779	6.1342	0			
6.0776	724	6.1416	0			
6.0849	742	6.1489	0			
6.0922	689	6.1562	0			
6.0996	709	6.1636	0			
6.1069	715	6.1709	0			
6.1142	755	6.1782	0			
6.1216	793	6.1856	0			
6.1289	749	6.1929	0			
6.1362	743	6.2002	0			
6.1436	763	6.2076	1			
6.1509	714	6.2149	0			
6.1582	687	6.2222	0			
6.1656	690	6.2296	1			
6.1729	703	6.2369	0			
6.1802	723	6.2442	0			
6.1876	709	6.2515	0			
6.1949	730	6.2589	1			
6.2022	655	6.2662	0			
6.2095	666	6.2735	0			
6.2169	692	6.2809	0			
6.2242	682	6.2882	0			
6.2315	667	6.2955	0			
6.2389	678	6.3029	0			
6.2462	651	6.3102	0			
6.2535	756	6.3175	0			
6.2609	650	6.3249	0			
6.2682	674	6.3322	0			
6.2755	706	6.3395	0			
6.2829	639	6.3469	0			
6.2902	648	6.3542	0			
6.2975	680	6.3615	0			
6.3049	663	6.3688	0			
6.3122	627	6.3762	0			
6.3195	657	6.3835	0			
6.3268	639	6.3908	0			
6.3342	661	6.3982	1			
6.3415	605	6.4055	0			
6.3488	635	6.4128	0			
6.3562	633	6.4202	0			
6.3635	611	6.4275	1			
6.3708	618	6.4348	0			
6.3782	652	6.4422	0			
6.3855	646	6.4495	0			
6.3928	599	6.4568	1			
6.4002	555	6.4642	0			
6.4075	619	6.4715	0			
6.4148	601	6.4788	0			
6.4222	578	6.4861	0			
6.4295	624	6.4935	0			
6.4368	627	6.5008	0			
6.4441	590	6.5081	0			
6.4515	609	6.5155	0			
6.4588	607	6.5228	0			
6.4661	566	6.5301	0			
6.4735	551	6.5375	0			
6.4808	586	6.5448	0			
6.4881	542	6.5521	0			
6.4955	593	6.5595	0			
6.5028	569	6.5668	0			
