PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:23:43			
Model:	Exp.	[Reconv.]	(Exponential)			
t[ns]	Intens.	t[ns]	Intens.			
3.4237	10288	3.496	24			
3.431	10493	3.5034	18			
3.4383	10195	3.5107	33			
3.4457	10207	3.518	17			
3.453	10208	3.5254	29			
3.4603	10190	3.5327	20			
3.4677	10221	3.54	20			
3.475	10126	3.5474	14			
3.4823	10131	3.5547	20			
3.4897	10069	3.562	22			
3.497	10007	3.5694	16			
3.5043	10064	3.5767	20			
3.5117	10047	3.584	18			
3.519	10025	3.5914	14			
3.5263	10099	3.5987	19			
3.5336	9993	3.606	22			
3.541	9873	3.6133	11			
3.5483	9890	3.6207	14			
3.5556	9906	3.628	14			
3.563	9987	3.6353	13			
3.5703	9845	3.6427	14			
3.5776	9806	3.65	12			
3.585	9864	3.6573	6			
3.5923	9913	3.6647	13			
3.5996	9806	3.672	9			
3.607	9830	3.6793	12			
3.6143	9489	3.6867	10			
3.6216	9834	3.694	9			
3.629	9576	3.7013	6			
3.6363	9692	3.7087	8			
3.6436	9524	3.716	13			
3.6509	9552	3.7233	11			
3.6583	9603	3.7306	11			
3.6656	9764	3.738	8			
3.6729	9461	3.7453	9			
3.6803	9498	3.7526	10			
3.6876	9451	3.76	10			
3.6949	9336	3.7673	14			
3.7023	9503	3.7746	14			
3.7096	9356	3.782	12			
3.7169	9359	3.7893	14			
3.7243	9355	3.7966	16			
3.7316	9236	3.804	9			
3.7389	9109	3.8113	11			
3.7463	9189	3.8186	9			
3.7536	9345	3.826	10			
3.7609	9403	3.8333	7			
3.7682	9298	3.8406	4			
3.7756	9203	3.8479	3			
3.7829	8970	3.8553	3			
3.7902	9242	3.8626	1			
3.7976	9311	3.8699	2			
3.8049	9322	3.8773	4			
3.8122	9036	3.8846	4			
3.8196	9119	3.8919	3			
3.8269	9323	3.8993	0			
3.8342	9178	3.9066	3			
3.8416	9054	3.9139	2			
3.8489	8987	3.9213	1			
3.8562	8911	3.9286	3			
3.8636	8885	3.9359	2			
3.8709	9026	3.9433	2			
3.8782	8936	3.9506	6			
3.8855	8848	3.9579	6			
3.8929	8861	3.9652	2			
3.9002	8806	3.9726	4			
3.9075	8882	3.9799	10			
3.9149	9032	3.9872	10			
3.9222	8957	3.9946	10			
3.9295	8776	4.0019	9			
3.9369	8839	4.0092	7			
3.9442	8812	4.0166	8			
3.9515	8670	4.0239	13			
3.9589	8801	4.0312	8			
3.9662	8666	4.0386	5			
3.9735	8834	4.0459	6			
3.9809	8861	4.0532	6			
3.9882	8537	4.0606	6			
3.9955	8760	4.0679	1			
4.0028	8515	4.0752	5			
4.0102	8619	4.0825	1			
4.0175	8543	4.0899	3			
4.0248	8795	4.0972	1			
4.0322	8562	4.1045	3			
4.0395	8694	4.1119	0			
4.0468	8420	4.1192	3			
4.0542	8577	4.1265	0			
4.0615	8559	4.1339	1			
4.0688	8680	4.1412	0			
4.0762	8349	4.1485	3			
4.0835	8512	4.1559	2			
4.0908	8427	4.1632	0			
4.0982	8412	4.1705	1			
4.1055	8366	4.1779	0			
4.1128	8409	4.1852	0			
4.1201	8388	4.1925	3			
4.1275	8389	4.1998	2			
4.1348	8162	4.2072	1			
4.1421	8149	4.2145	0			
4.1495	8353	4.2218	0			
4.1568	8147	4.2292	0			
4.1641	8348	4.2365	0			
4.1715	8181	4.2438	1			
4.1788	8257	4.2512	1			
4.1861	8240	4.2585	1			
4.1935	8125	4.2658	0			
4.2008	8251	4.2732	0			
4.2081	8312	4.2805	0			
4.2155	7857	4.2878	1			
4.2228	8085	4.2952	1			
4.2301	8074	4.3025	0			
4.2374	7975	4.3098	2			
4.2448	8062	4.3171	0			
4.2521	7988	4.3245	0			
4.2594	8070	4.3318	1			
4.2668	8139	4.3391	0			
4.2741	8204	4.3465	0			
4.2814	7943	4.3538	1			
4.2888	7877	4.3611	0			
4.2961	7882	4.3685	2			
4.3034	8068	4.3758	1			
4.3108	8012	4.3831	1			
4.3181	8020	4.3905	0			
4.3254	7842	4.3978	2			
4.3328	7823	4.4051	0			
4.3401	7921	4.4125	0			
4.3474	7898	4.4198	1			
4.3547	7699	4.4271	0			
4.3621	7776	4.4344	0			
4.3694	7772	4.4418	0			
4.3767	7659	4.4491	0			
4.3841	7734	4.4564	0			
4.3914	7728	4.4638	1			
4.3987	7753	4.4711	2			
4.4061	7583	4.4784	1			
4.4134	7760	4.4858	0			
4.4207	7625	4.4931	0			
4.4281	7582	4.5004	0			
4.4354	7558	4.5078	0			
4.4427	7610	4.5151	0			
4.4501	7520	4.5224	0			
4.4574	7718	4.5298	1			
4.4647	7608	4.5371	0			
4.472	7531	4.5444	0			
4.4794	7459	4.5517	0			
4.4867	7406	4.5591	1			
4.494	7459	4.5664	0			
4.5014	7467	4.5737	0			
4.5087	7523	4.5811	0			
4.516	7454	4.5884	0			
4.5234	7333	4.5957	0			
4.5307	7424	4.6031	0			
4.538	7404	4.6104	0			
4.5454	7469	4.6177	1			
4.5527	7599	4.6251	0			
4.56	7317	4.6324	0			
4.5674	7263	4.6397	0			
4.5747	7267	4.6471	1			
4.582	7322	4.6544	0			
4.5893	7392	4.6617	1			
4.5967	7178	4.669	0			
4.604	7325	4.6764	0			
4.6113	7156	4.6837	0			
4.6187	7035	4.691	0			
4.626	7165	4.6984	0			
4.6333	7263	4.7057	0			
4.6407	7113	4.713	1			
4.648	7195	4.7204	1			
4.6553	6912	4.7277	1			
4.6627	6993	4.735	0			
4.67	7237	4.7424	0			
4.6773	7031	4.7497	0			
4.6847	7045	4.757	0			
4.692	6995	4.7644	0			
4.6993	6923	4.7717	0			
4.7066	7059	4.779	0			
4.714	7011	4.7863	1			
4.7213	6975	4.7937	0			
4.7286	6882	4.801	0			
4.736	6993	4.8083	0			
4.7433	7053	4.8157	0			
4.7506	6899	4.823	0			
4.758	7085	4.8303	0			
4.7653	6884	4.8377	0			
4.7726	6891	4.845	1			
4.78	6802	4.8523	0			
4.7873	6788	4.8597	1			
4.7946	6879	4.867	0			
4.802	6967	4.8743	0			
4.8093	6913	4.8817	0			
4.8166	6896	4.889	1			
4.8239	6828	4.8963	0			
4.8313	7036	4.9036	0			
4.8386	6835	4.911	0			
4.8459	6858	4.9183	1			
4.8533	6762	4.9256	0			
4.8606	6675	4.933	0			
4.8679	6735	4.9403	2			
4.8753	6746	4.9476	0			
4.8826	6927	4.955	0			
4.8899	6644	4.9623	1			
4.8973	6745	4.9696	0			
4.9046	6639	4.977	1			
4.9119	6586	4.9843	0			
4.9192	6549	4.9916	0			
4.9266	6685	4.999	0			
4.9339	6754	5.0063	2			
4.9412	6566	5.0136	0			
4.9486	6539	5.0209	1			
4.9559	6626	5.0283	0			
4.9632	6673	5.0356	2			
4.9706	6461	5.0429	0			
4.9779	6423	5.0503	1			
4.9852	6677	5.0576	0			
4.9926	6519	5.0649	0			
5.0001	6405	5.0723	1			
5.0072	6606	5.0796	0			
5.0146	6526	5.0869	0			
5.0219	6512	5.0943	0			
5.0292	6615	5.1016	1			
5.0365	6331	5.1089	0			
5.0439	6399	5.1162	0			
5.0512	6505	5.1236	0			
5.0585	6313	5.1309	0			
5.0659	6418	5.1382	0			
5.0732	6535	5.1456	0			
5.0805	6296	5.1529	0			
5.0879	6412	5.1602	0			
5.0952	6398	5.1676	0			
5.1025	6269	5.1749	0			
5.1099	6360	5.1822	1			
5.1172	6169	5.1896	0			
5.1245	6183	5.1969	0			
5.1319	6318	5.2042	0			
5.1392	6253	5.2116	0			
5.1465	6203	5.2189	0			
5.1538	6125	5.2262	0			
5.1612	6064	5.2335	0			
5.1685	6188	5.2409	0			
5.1758	6119	5.2482	1			
5.1832	5956	5.2555	0			
5.1905	6046	5.2629	0			
5.1978	6273	5.2702	0			
5.2052	6239	5.2775	0			
